artistName,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,release_date,genres
Maribou State,Manila,0.715,0.612,6.0,-7.865,0.0,0.0378,0.312,0.905,0.324,0.345,124.022,audio_features,6V2QgOIMT94HhsfeIVbbZm,spotify:track:6V2QgOIMT94HhsfeIVbbZm,https://api.spotify.com/v1/tracks/6V2QgOIMT94HhsfeIVbbZm,https://api.spotify.com/v1/audio-analysis/6V2QgOIMT94HhsfeIVbbZm,192533.0,4.0,2016-01-22,"['electronica', 'future garage', 'indie soul']"
Bibio,jealous of roses,0.61,0.797,6.0,-7.076,1.0,0.118,0.0175,0.0307,0.086,0.949,108.021,audio_features,7cXF6ZVxPFfIaTuHkfit7U,spotify:track:7cXF6ZVxPFfIaTuHkfit7U,https://api.spotify.com/v1/tracks/7cXF6ZVxPFfIaTuHkfit7U,https://api.spotify.com/v1/audio-analysis/7cXF6ZVxPFfIaTuHkfit7U,155000.0,4.0,2009-06-22,"['ambient folk', 'chillwave', 'downtempo', 'electronica', 'folktronica', 'indie soul', 'indietronica']"
Kendrick Lamar,Alright,0.796,0.766,7.0,-5.974,1.0,0.238,0.0742,0.0,0.0827,0.558,110.034,audio_features,3iVcZ5G6tvkXZkZKlMpIUs,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/tracks/3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/audio-analysis/3iVcZ5G6tvkXZkZKlMpIUs,219333.0,4.0,2015-03-16,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Kendrick Lamar,The Recipe - Bonus Track,0.759,0.782,11.0,-6.975,0.0,0.0741,0.000589,0.0,0.35,0.507,131.04,audio_features,1eRBW1HcyM1zPlxO26cScZ,spotify:track:1eRBW1HcyM1zPlxO26cScZ,https://api.spotify.com/v1/tracks/1eRBW1HcyM1zPlxO26cScZ,https://api.spotify.com/v1/audio-analysis/1eRBW1HcyM1zPlxO26cScZ,352853.0,4.0,2012,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
The Daily,Inside the Mind of a Super Tuesday Voter,,,,,,,,,,,,,,,,,,,,
Broadcast,Accidentals,0.155,0.462,6.0,-12.827,1.0,0.0451,0.895,0.917,0.0962,0.214,82.246,audio_features,1bwyWLYH4K0CdmPRADr0xQ,spotify:track:1bwyWLYH4K0CdmPRADr0xQ,https://api.spotify.com/v1/tracks/1bwyWLYH4K0CdmPRADr0xQ,https://api.spotify.com/v1/audio-analysis/1bwyWLYH4K0CdmPRADr0xQ,208000.0,4.0,1997-06-09,"['alternative rock', 'art pop', 'art rock', 'chamber psych', 'chillwave', 'dance-punk', 'dream pop', 'experimental', 'freak folk', 'garage psych', 'hauntology', 'indie pop', 'indietronica', 'neo-psychedelic', 'nu gaze', 'slowcore']"
El Michels Affair,Tearz feat. Lee Fields & The Shacks - 45 Edit,,,,,,,,,,,,,,,,,,,,
Loke Rahbek,Scarlett,0.527,0.463,10.0,-9.024,1.0,0.0288,0.228,0.796,0.212,0.507,140.005,audio_features,0c1i8bIZx50ntk9vgPOFdQ,spotify:track:0c1i8bIZx50ntk9vgPOFdQ,https://api.spotify.com/v1/tracks/0c1i8bIZx50ntk9vgPOFdQ,https://api.spotify.com/v1/audio-analysis/0c1i8bIZx50ntk9vgPOFdQ,484951.0,4.0,2020-02-28,"['danish experimental', 'deconstructed club', 'fluxwork', 'new isolationism', 'outsider house']"
Red Hot Chili Peppers,If You Have to Ask,0.709,0.738,7.0,-12.019,1.0,0.048,0.00236,0.795,0.073,0.671,96.24,audio_features,2R6go62CuxqqX0w1TgXxes,spotify:track:2R6go62CuxqqX0w1TgXxes,https://api.spotify.com/v1/tracks/2R6go62CuxqqX0w1TgXxes,https://api.spotify.com/v1/audio-analysis/2R6go62CuxqqX0w1TgXxes,216693.0,4.0,1991-09-24,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Four Tet,Angel Echoes,0.651,0.529,7.0,-8.598,0.0,0.0357,0.514,0.0187,0.738,0.154,114.998,audio_features,0Zuw3doXy3H4HCfyb9cMK3,spotify:track:0Zuw3doXy3H4HCfyb9cMK3,https://api.spotify.com/v1/tracks/0Zuw3doXy3H4HCfyb9cMK3,https://api.spotify.com/v1/audio-analysis/0Zuw3doXy3H4HCfyb9cMK3,239433.0,3.0,2010-01-25,"['alternative dance', 'electronica', 'folktronica', 'indie soul', 'indietronica', 'intelligent dance music']"
Smokey Robinson & The Miracles,You've Really Got A Hold On Me - Alternate Stereo Mix,,,,,,,,,,,,,,,,,,,,
Swae Lee,Someone Said,0.904,0.492,2.0,-9.657,1.0,0.155,0.00119,0.364,0.125,0.257,149.982,audio_features,5awaEIMiJboRO7ycF6UOot,spotify:track:5awaEIMiJboRO7ycF6UOot,https://api.spotify.com/v1/tracks/5awaEIMiJboRO7ycF6UOot,https://api.spotify.com/v1/audio-analysis/5awaEIMiJboRO7ycF6UOot,223275.0,4.0,2020-02-28,"['melodic rap', 'trap']"
"Sean Carroll's Mindscape: Science, Society, Philosophy, Culture, Arts, and Ideas","1 | Carol Tavris on Mistakes, Justification, and Cognitive Dissonance",,,,,,,,,,,,,,,,,,,,
Ted Hawkins,Sorry You're Sick,0.716,0.251,8.0,-14.397,0.0,0.0791,0.954,0.000193,0.136,0.771,141.367,audio_features,0bQfDEGIkkjrrbGkK4JLmF,spotify:track:0bQfDEGIkkjrrbGkK4JLmF,https://api.spotify.com/v1/tracks/0bQfDEGIkkjrrbGkK4JLmF,https://api.spotify.com/v1/audio-analysis/0bQfDEGIkkjrrbGkK4JLmF,130933.0,4.0,1982-01-01,"['folk', 'soul blues', 'traditional folk']"
